alt,XM,ZXN_HPC,FN,FG,SFC,FNqW2,WF,WF_total,St2_W,St2_T,St2_Ts,St2_P,St3_W,St3_T,St3_Ts,St3_P,St5_W,St5_T,St5_Ts,St5_P
1570.3,0.40742,0.81719,1.182,1.979,36.56,201.95,0.043214,0.043214,5.8528,287.18,277.9,93.982,5.8528,466.93,460.66,406.16,5.896,581.99,568.67,119.39
2320.3,0.14492,0.96719,3.0013,3.3358,24.21,430.83,0.072662,0.072662,6.9663,274.22,250.9,77.513,6.9663,514.75,508.64,533.19,7.039,692.64,673.17,140.85
5320.3,0.49492,0.76719,0.58122,1.1709,43.266,155.76,0.025147,0.025147,3.7316,266.01,258.53,61.181,3.7316,425.13,419.34,245.47,3.7567,520.92,509.27,72.715
3820.3,0.31992,0.86719,1.5366,2.0834,28.669,292.54,0.044053,0.044053,5.2527,268.72,254.75,67.736,5.2527,471,464.96,374.07,5.2967,602.36,586.19,101.66
820.31,0.66992,0.66719,-0.049703,0.97778,-299,-10.926,0.020647,0.020647,4.5492,308.2,304.9,124.09,4.5492,417.43,411.16,283.39,4.5698,481.31,474.93,108.83
1195.3,0.013672,0.89219,2.6705,2.7016,23.07,395.02,0.061608,0.061608,6.7605,280.39,265.22,87.777,6.7605,493.9,487.68,497.09,6.8221,646.43,629.91,137.41
4195.3,0.36367,0.69219,0.39346,0.75524,58.748,128.09,0.023115,0.023115,3.0718,267.79,263.63,65.839,3.0718,397.39,392.26,201.29,3.095,537.1,529.15,73.268
5695.3,0.18867,0.99219,2.3918,2.6924,24.823,477.08,0.059373,0.059373,5.0135,252.92,224.95,50.423,5.0135,504.47,498.84,391.48,5.0729,722.34,702.42,103.47
2695.3,0.53867,0.79219,0.75075,1.6743,44.77,144.43,0.033611,0.033611,5.1981,286.36,278.39,88.778,5.1981,453.3,446.96,348.85,5.2317,541.69,529.46,102.89
1945.3,0.27617,0.64219,0.35783,0.64117,72.245,116.06,0.025851,0.025851,3.0831,279.71,277.01,84.393,3.0831,391.28,386.7,209.86,3.109,581.89,575.96,91.105
4945.3,0.62617,0.84219,0.97884,1.9872,35.963,195,0.035202,0.035202,5.0196,276.12,264.42,70.88,5.0196,465.98,459.61,344.98,5.0548,554.25,538.74,91.624
3445.3,0.10117,0.74219,0.91115,1.0329,33.08,247.51,0.030141,0.030141,3.6813,266.3,260.34,66.704,3.6813,418.32,413.1,250.14,3.7115,575.4,565.38,84.378
